index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
19,🥦,food,broccoli,brokkoli,brócoli,brocoli,ブロッコリー,브로콜리,brócolis,broccoli,بروکلی,brokoli,西兰花,брокколи,brokoli,broccoli,بروكولي,
20,🥬,food,leafy green,blattgemüse,verdura de hoja verde,légume à feuilles vertes,葉野菜,녹색 채소,verdura,verdure a foglia,برگ سبز,selada hijau,绿叶蔬菜,зеленый салат,yeşil yapraklı sebze,chlada khdra,خضار ورقي,
21,🥒,food,cucumber,gurke,pepino,concombre,キュウリ,오이,pepino,cetriolo,خیار,ketimun,黄瓜,огурец,salatalık,khyar,خيار,
22,🌶️,food,hot pepper,peperoni,chile picante,piment rouge,とうがらし,홍고추,pimenta,peperoncino,فلفل قرمز,cabai pedas,红辣椒,острыи перец,acı biber,felfla 7arra,فلفل حار,
23,🫑,food,bell pepper,paprika,pimiento,poivron,赤ピーマン,피망,pimentão,peperone,فلفل دلمه ای,paprika,灯笼椒,болгарский перец,dolma biber,felfla 7louwa,فلفل حلو,
24,🥕,food,carrot,karotte,zanahoria,carotte,人参,당근,cenoura,carota,هویج,wortel,胡萝卜,морковь,havuç,khizzowa,جزر,
25,🧄,food,garlic,knoblauch,ajo,ail,ニンニク,마늘,alho,aglio,سیر,bawang putih,蒜,чеснок,sarımsak,touma,ثوم,
26,🧅,food,onion,zwiebel,cebolla,oignon,タマネギ,양파,cebola,cipolla,پیاز,bawang bombay,洋葱,лук,soğan,besla,بصل,
27,🥔,food,potato,kartoffel,patata,pomme de terre,ジャガイモ,감자,batata,patata,سیب زمینی,kentang,土豆,картофель,patates,btata,بطاطس,
28,🍠,food,roasted sweet potato,geröstete süßkartoffel,patata asada,patate douce,焼き芋,고구마,batata assada,patata dolce arrosto,سیب زمینی شیرین کباب شده,ubi panggang,烤红薯,печеный сладкий картофель,fırınlanmış patates,btata 7louwa,بطاطا حلوة مشوية,
29,🥐,food,croissant,croissant,cruasán,croissant,クロワッサン,크루아상,croissant,croissant,کرواسان,croissant,羊角面包,круассан,kruvasan,croissa,كرواسون,
30,🥯,food,bagel,bagel,bagel,bagel,ベーグル,베이글,rosca,bagel,نان بیگل,bagel,面包圈,бублик,simit,bagel,خبز البيغل,
31,🍞,food,bread,brot,pan de molde,pain,食パン,빵,pão,pane in cassetta,نان,roti,面包,хлеб,ekmek,khoubz,خبز,
32,🥖,food,baguette bread,baguette,baguete,baguette,バゲット,바게트,baguete,baguette,نان باگت,roti baguette,法式长棍面包,багет,baget ekmek,baguetta dl khobz,الخبز الفرنسي,
33,🥨,food,pretzel,brezel,bretzel,bretzel,プレッツェル,프레첼,pretzel,pretzel,چوب شور,pretzel,椒盐卷饼,крендель,pretzel,bretzel,بريتزل,
34,🧀,food,cheese wedge,käsestück,cuña de queso,part de fromage,チーズ,치즈 조각,queijo,fetta di formaggio,قاچ پنیر,irisan keju,芝士,сыр,peynir dilimi,terf dial fromaj,قطعة جبن,
35,🥚,food,egg,ei,huevo,œuf,卵,달걀,ovo,uovo,تخم مرغ,telur,蛋,яйцо,yumurta,beda,بيض,
36,🍳,food,cooking,spiegelei in bratpfanne,cocinar,œuf au plat,料理,프라이팬,ovo frito,cucinare,آشپزی,memasak,煎蛋,яичница на сковороде,yemek pişirme,tyab,مقلاة,
37,🧈,food,butter,butter,mantequilla,beurre,バター,버터,manteiga,burro,کره,mentega,黄油,масло,tereyağı,zebda,زبد,
38,🥞,food,pancakes,pfannkuchen,tortitas,pancakes,パンケーキ,팬케이크,panquecas,pancake,پنکیک,panekuk,烙饼,блины,krep,lcrepe,فطائر,
39,🧇,food,waffle,waffel,gofre,gaufre,ワッフル,와플,waffle,waffle,وافل,wafel,华夫饼,вафля,waffle,les gaufres,وافل,
40,🥓,food,bacon,bacon,beicon,lard,ベーコン,베이컨,bacon,pancetta,بیکن,babi asap,培根,бекон,domuz pastırması,gueddid,لحم مقدد,
41,🥩,food,cut of meat,fleischstück,corte de carne,morceau de viande,ステーキ肉,고깃덩이,corte de carne,taglio di carne,برش گوشت,potongan daging,肉块,кусок мяса,parça et,terf d l7em,قطعة لحم,
42,🍗,food,poultry leg,hähnchenschenkel,muslo de pollo,cuisse de poulet,鶏もも肉,닭다리,coxa de frango,coscia di pollo,ران ماکیان,kaki ayam,家禽的腿,куриная ножка,tavuk butu,fkhed dial djaj,ساق دجاجة,
43,🍖,food,meat on bone,fleischhachse,carne con hueso,viande sur un os,骨付き肉,고기,carne,carne,گوشت با استخوان,daging pada tulang,排骨,мясо на косточке,kemikli et,l7em fih 3dem,لحم بعظم,
44,🌭,food,hot dog,hotdog,perrito caliente,hot dog,ホットドッグ,핫도그,cachorro-quente,hot dog,هات داگ,hot dog,热狗,хот дог,sosisli sandviç,hot dog,هوت دوغ,
45,🍔,food,hamburger,hamburger,hamburguesa,hamburger,ハンバーガー,햄버거,hambúrguer,hamburger,همبرگر,hamburger,汉堡,гамбургер,hamburger,burger,همبرغر,
46,🍟,food,french fries,pommes frites,patatas fritas,frites,フライドポテト,감자튀김,batata frita,patatine,سیب زمینی سرخ کرده,kentang goreng,薯条,картофель фри,patates kızartması,frite,بطاطس مقلية,
47,🍕,food,pizza,pizza,pizza,pizza,ピザ,피자,pizza,pizza,پیتزا,pizza,披萨,пицца,pizza dilimi,pizza,بيتزا,
48,🥪,food,sandwich,sandwich,sándwich,sandwich,サンドイッチ,샌드위치,sanduíche,sandwich,ساندویچ,roti lapis,三明治,сэндвич,sandviç,sandwich,ساندوتش,
49,🥙,food,stuffed flatbread,döner,pan relleno,kebab,ケバブサンド,밀전병에 싼 요리,pão recheado,pita farcita,لقمه,roti tawar isi,夹心饼,шаурма,dürüm,sandwich f ness khobza,خبز مفرود محشو,
50,🧆,food,falafel,falafel,falafel,falafels,ファラフェル,팔라펠,falafel,falafel,فلافل,falafel,炸豆丸子,фалафель,falafel,falafel,فلافل,
51,🌮,food,taco,taco,taco,taco,タコス,타코,taco,taco,تاکو,taco,墨西哥卷饼,тако,tako,taco mexiki,تاكو,
52,🌯,food,burrito,burrito,burrito,burrito,ブリトー,부리또,burrito,burrito,بوریتو,burrito,墨西哥玉米煎饼,буррито,burito,burrito,بوريتو,
53,🫔,food,tamale,tamale,tamal,tamal,タマル,타말레,tamale,tamale,تامال,tamale,墨西哥粽子,тамале,tamale,tamale,تامال,
54,🥗,food,green salad,salat,ensalada,salade verte,グリーンサラダ,야채샐러드,salada verde,insalata verde,سالاد سبزیجات,salad hijau,绿色沙拉,овощной салат,yeşil salata,chlada khdra,سلطة خضراء,
55,🥘,food,shallow pan of food,pfannengericht,paella,plat mitonné,パエリア,납작한 냄비,caçarola com comida,padella con cibo,ماهیتابه غذا,wajan dangkal,装有食物的浅底锅,рагу в сковороде,sahanda yemek,me9la fiha lmakla,مقلاة مسطحة بها طعام,
56,🫕,food,fondue,fondue,fondue,fondue,フォンデュ,퐁듀,fondue,fonduta,فوندو,fondue,奶酪火锅,фондю,fondü,formaj dayeb,فوندو,
57,🥫,food,canned food,konserve,comida enlatada,aliments en conserve,缶詰,통조림,comida enlatada,cibo in scatola,غذای کنسروشده,makanan kaleng,罐头食品,консервы,konserve gıda,makla m3eb2a,طعام معلب,
58,🍝,food,spaghetti,spaghetti,espagueti,spaghetti,スパゲッティ,스파게티,espaguete,spaghetti,اسپاگتی,spageti,意粉,спагетти,spagetti,spaghetti,سباغتي,
59,🍜,food,steaming bowl,schüssel und essstäbchen,tazón de fideos,bol fumant,ラーメン,국수,lámen,ciotola fumante,کاسه نودل,mangkuk mengepul,面条,лапша,erişte,zlafa katghli,سلطانية البخار,
60,🍲,food,pot of food,topf mit essen,olla de comida,marmite,なべ,국,panela,pentola di cibo,ظرف غذا,panci makanan,一锅食物,кастрюля с горячей едой,yemek tenceresi,makla f zlafa,وعاء طعام,
61,🍛,food,curry rice,reis mit curry,arroz con curry,riz au curry,カレーライス,카레라이스,arroz com curry,riso al curry,برنج با کاری,nasi kari,咖喱饭,рис с карри,körili pilav,roz bl curry,أرز وكاري,
62,🍣,food,sushi,sushi,sushi,sushi,すし,초밥,sushi,sushi,سوشی,sushi,寿司,суши,suşi,sushi,سوشي,
63,🍱,food,bento box,bento-box,caja de bento,boîte déjeuner,弁当,도시락,bentô,bento box,جعبه بنتو,kotak bento,盒饭,бэнто,bento,boita bento fiha makla dial japoun,علبة طعام,
64,🥟,food,dumpling,teigtasche,dumpling,boulette de pâte,点心,만두,bolinho asiático,raviolo,کوفته,dumpling,饺子,вареник,mantı,ke3b ghzal,زلابية صينية,
65,🦪,food,oyster,auster,ostra,huître,牡蠣,굴,ostra,ostrica,صدف خوراکی,tiram,牡蛎,устрица,istiridye,les huitres,محار,
66,🍤,food,fried shrimp,frittierte garnele,gamba frita,beignet de crevette,エビフライ,새우튀김,camarão frito,gambero fritto,میگو سوخاری,udang goreng,天妇罗,жареная креветка,kızarmış karides,crevette m9li,جمبري مقلي,
67,🍙,food,rice ball,reisbällchen,bola de arroz,boulette de riz,おにぎり,삼각 김밥,arroz japonês,onigiri,کوفته برنجی,nasi kepal,饭团,онигири,pirinç topu,kora dial roz,كرة أرز,
68,🍚,food,cooked rice,reis in schüssel,arroz cocido,bol de riz,ごはん,밥,arroz cozido,riso bollito,برنج پخته,nasi matang,米饭,рис,pilav,roz tayeb,أرز مطبوخ,
69,🍘,food,rice cracker,reiscracker,galleta de arroz,galette de riz,せんべい,주먹밥,biscoito de arroz,galletta di riso,تردک برنجی,kerupuk beras,米饼,рисовый крекер,pirinç gevreği,glia dial roz,مقرمشات أرز,
70,🍥,food,fish cake with swirl,fischfrikadelle,pastel de pescado japonés,croquette de poisson,なると,어묵,bolinho de peixe,tortino di pesce a spirale,کیک ماهی,kue ikan dengan desain pusaran,鱼板,камабоко,balık köftesi,kroket dial l7out,كعكة سمك بشكل حلزوني,
71,🥠,food,fortune cookie,glückskeks,galleta de la fortuna,biscuit chinois,フォーチュンクッキー,포츈 쿠키,biscoito da sorte,biscotto della fortuna,شیرینی شانس,kue keberuntungan,幸运饼干,печенье с предсказанием,fal kurabiyesi,7lwa d chinwa,كعكة الحظ,
72,🥮,food,moon cake,mondkuchen,pastel de luna,gâteau de lune,月餅,월병,bolo lunar,torta della luna,کیک ماه,kue bulan,月饼,лунный пирог,ay pastası,7lwa dial 9amar,كعكة القمر,
73,🍢,food,oden,oden,brocheta,brochette de poisson,おでん,오뎅,oden,oden giapponese,اودن,oden,关东煮,одэн,oden,brochette dl 7out,طعام مشكل,
74,🍡,food,dango,dango,dango,brochette de bonbons,だんご,떡꼬치,dango,dango,دانگو,dango,团子,данго,pirinç tatlısı,brochette dial dango,حلوى الدانغو,
75,🍧,food,shaved ice,wassereis,granizado hawaiano,granité,かき氷,샤베트 아이스크림,raspadinha de gelo,granita,یخ در بهشت,es serut,刨冰,мороженое в креманке,meyveli buz,teljb b sirop,آيس كريم مجروش,
76,🍨,food,ice cream,eiscreme,helado,glace,アイスクリーム,아이스크림,sorvete,coppa di gelato,بستنی,es krim,冰淇淋,мороженое,dondurma,la glace,آيس كريم,
77,🍦,food,soft ice cream,softeis,cucurucho de helado,glace italienne,ソフトクリーム,소프트 아이스크림,sorvete italiano,cono gelato,بستنی قیفی,es krim lembut,圆筒冰激凌,мороженое в стаканчике,yumuşak dondurma,cornet dial la glace,آيس كريم مخفف,
78,🥧,food,pie,kuchen,pastel,tarte,パイ,파이,torta,torta,پای,pai,派,пирог,tart,la tarte,فطيرة,
79,🧁,food,cupcake,cupcake,magdalena,cupcake,カップケーキ,컵케이크,cupcake,cupcake,کیک فنجانی,kue mangkuk,纸杯蛋糕,капкейк,cupcake,cupcake,كعكة صغيرة,
80,🍰,food,shortcake,torte,trozo de tarta,gâteau sablé,ショートケーキ,조각 케익,pão de ló de morango,fetta di torta,شُرت کیک,kue,水果蛋糕,кусочек торта,pasta dilimi,terf dial kika,قطعة من الكعك,
81,🎂,food,birthday cake,geburtstagskuchen,tarta de cumpleaños,gâteau d’anniversaire,バースデーケーキ,생일 케이크,bolo de aniversário,torta di compleanno,کیک تولد,kue ulang tahun,生日蛋糕,торт ко дню рождения,doğum günü pastası,kika dial 3id milad,كعكة عيد ميلاد,
82,🍮,food,custard,pudding,flan,crème renversée,プリン,커스타드 푸딩,pudim,budino,کاستارد,puding susu,奶黄,пудинг,krem karamel,flan bl caramel,كريم كراميل,
83,🍭,food,lollipop,lutscher,piruleta,sucette,ぺろぺろキャンディ,롤리팝,pirulito,lecca lecca,آب نبات چوبی,permen lolipop,棒棒糖,леденец,lolipop,mssassa,مصاصة,
84,🍬,food,candy,bonbon,caramelo,bonbon,キャンディ,사탕,bala,caramella,آب نبات,permen,糖,конфета,şekerleme,7elwa,حلوى,
85,🍫,food,chocolate bar,schokoladentafel,tableta de chocolate,barre chocolatée,チョコレート,초콜렛,chocolate,cioccolato,تخته شکلات,sebatang cokelat,巧克力,шоколад,çikolata,blaka dial cheklat,لوح شوكولاتة,
86,🍿,food,popcorn,popcorn,palomitas,pop-corn,ポップコーン,팝콘,pipoca,popcorn,ذرت بوداده,popcorn,爆米花,попкорн,patlamış mısır,popcorn,فشار,
87,🍩,food,doughnut,donut,dónut,doughnut,ドーナツ,도넛,donut,ciambella,دونات,donat,甜甜圈,пончик,donut,donut,كعكة محلاة,
88,🍪,food,cookie,keks,galleta,cookie,クッキー,쿠키,biscoito,biscotto,کلوچه,biskuit,饼干,печенье,kurabiye,cookies,كعكة,
89,🌰,food,chestnut,kastanie,castaña,châtaigne,くり,밤,castanha,castagna,فندق,kastanye,栗子,каштан,kestane,bellot,كستناء,
90,🥜,food,peanuts,erdnuss,cacahuetes,cacahuètes,ピーナッツ,땅콩,amendoim,arachidi,بادام زمینی,kacang tanah,花生,арахис,yer fıstığı,kawkaw,فول سوداني,
91,🍯,food,honey pot,honigtopf,tarro de miel,pot de miel,はちみつ,꿀,pote de mel,barattolo di miele,ظرف عسل,toples madu,蜂蜜,мед,bal kabı,9r3a dial l3sel,جرة عسل,
92,🥛,food,glass of milk,glas milch,vaso de leche,verre de lait,牛乳入りのコップ,우유 한잔,copo de leite,bicchiere di latte,لیوان شیر,gelas susu,一杯奶,стакан молока,süt bardağı,kass dial 7lib,كوب حليب,
93,🍼,food,baby bottle,babyflasche,biberón,biberon,ほにゅう瓶,젖병,mamadeira,biberon,شیشه شیر,botol bayi,奶瓶,бутылочка с соской,biberon,9r3a dial bebe,زجاجة الرضاعة,
94,☕,food,hot beverage,heißgetränk,bebida caliente,boisson chaude,温かい飲み物,뜨거운 음료,café,bevanda calda,نوشیدنی گرم,minuman hangat,热饮,горячий напиток,sıcak içecek,machroub skhone,مشروب ساخن,
95,🫖,food,teapot,teekanne,tetera,théière,ティーポット,찻주전자,bule,teiera,قوری,teko,茶壶,чайник,demlik,berrad,إبريق شاي,
96,🍵,food,teacup without handle,teetasse ohne henkel,tazón de té,tasse,湯飲み,차,xícara de chá sem alça,tazza da tè senza manico,فنجان چای بدون دسته,cangkir teh tanpa gagang,热茶,чашка без ручки,çay fincanı,atay f tasse,فنجان شاي بدون مقبض,
97,🧃,food,beverage box,trinkpäckchen,tetrabrik,briquette de jus,紙パック飲料,음료 팩,suco de caixa,bevanda monodose,پاکت نوشیدنی,kotak minuman,饮料盒,пакетик сока,içecek kutusu,mon3ich,علبة عصير,
98,🥤,food,cup with straw,becher mit strohhalm,vaso con pajita,gobelet avec paille,ストローカップ,빨대와 컵,copo com canudo,bicchiere con cannuccia,فنجان با نی,cangkir dengan sedotan,带吸管杯,стакан с соломинкой,pipetli bardak,kass bla paille,كأس وقشة للشرب,
99,🧋,food,bubble tea,bubble tea,té de burbujas,thé aux perles,タピオカドリンク,버블티,chá perolado,bubble tea,چای حُبابی,teh bubble,珍珠奶茶,чай с шариками,bubble tea,atay bl kwari,شاي الفقاعات,
100,🍶,food,sake,sake-flasche mit tasse,sake,saké,徳利,사케,saquê,sakè,ساکی,sake,清酒,бутылка саке,sake,thermos w kass,زجاجة وفنجان,
101,🍺,food,beer mug,bierkrug,jarra de cerveza,chope,ビールジョッキ,맥주잔,cerveja,boccale di birra,لیوان آب جو,mug bir,啤酒,кружка пива,bira kupası,kass dial birra,كأس بيرة,
102,🍻,food,clinking beer mugs,bierkrüge,jarras de cerveza brindando,chopes de bière,ビールで乾杯,맥주,canecas de cerveja,boccali di birra,لیوان های آبجو را به هم زدن,mug bir berdenting,干杯,чокающиеся кружки,bira kupaları tokuşturma,kissane dial birra ki tkhabto,كأسا بيرة,
103,🥂,food,clinking glasses,sektgläser,copas brindando,trinquer,グラスで乾杯,건배하는 샴페인 잔,taças brindando,brindisi,صدای به هم خوردن پیاله ها,mendentingkan gelas,碰杯,чокающиеся бокалы,kadeh tokuşturma,kissane ki tkhabto,كأسان يرتطمان,
104,🍷,food,wine glass,weinglas,copa de vino,verre de vin,ワイングラス,와인잔,vinho,bicchiere di vino,جام شراب,gelas anggur,葡萄酒,бокал вина,şarap kadehi,kass dial rouge,كأس شراب,
105,🥃,food,tumbler glass,trinkglas,vaso de whisky,verre tumbler,タンブラーグラス,양주잔,copo,bicchiere tumbler,لیوان ته گنبدی,gelas tumbler,平底杯,стакан с виски,kısa ve geniş bardak,kass dial whiskey,كوب زجاجي,
106,🍸,food,cocktail glass,cocktailglas,copa de cóctel,cocktail,カクテルグラス,칵테일,coquetel,cocktail,جام کوکتل,gelas cocktail,鸡尾酒,коктейль,kokteyl kadehi,kass dial cocktail,كأس عصير كوكتيل,
107,🍹,food,tropical drink,cocktail,bebida tropical,cocktail tropical,トロピカルドリンク,음료수,bebida tropical,cocktail tropicale,نوشیدنی استوایی,minuman tropis,热带水果饮料,тропический коктейль,tropik içecek,kass fih cocktail w 3assir,مشروب استوائي,
108,🧉,food,mate,mate-tee,mate,maté,マテ茶,마테차,mate,mate,ماته,teh mate,马黛茶,мате,mate çayı,kass dial maté,متة,
109,🍾,food,bottle with popping cork,flasche mit knallendem korken,botella descorchada,bouteille de champagne,シャンパン,코르크가 튀어나오고 있는 병,garrafa de champanhe,bottiglia stappata,شامپاین جوشان,botol dengan penyumbat terlepas,开香槟,шампанское,patlayan mantarlı şişe,9er3a ghla9ta katterte9,زجاجة بسدادة مفرقعة,
110,🐶,animals,dog face,hundegesicht,cara de perro,tête de chien,イヌの顔,강아지 얼굴,rosto de cachorro,muso di cane,صورت سگ,wajah anjing,狗脸,морда собаки,köpek yüzü,wjeh dial kelb,وجه كلب,
111,🐱,animals,cat face,katzengesicht,cara de gato,tête de chat,ネコの顔,고양이 얼굴,rosto de gato,muso di gatto,صورت گربه,wajah kucing,猫脸,морда кошки,kedi yüzü,wjeh dial mouch,وجه قطة,
112,🐭,animals,mouse face,mäusegesicht,cara de ratón,tête de souris,ネズミの顔,쥐 얼굴,rosto de camundongo,muso di topo,صورت موش,wajah tikus,老鼠头,морда мыши,fare yüzü,wjeh dial far,وجه فأر,
113,🐹,animals,hamster,hamster,hámster,hamster,ハムスターの顔,햄스터 얼굴,rosto de hamster,criceto,همستر,hamster,仓鼠,морда хомяка,hamster,hamster,وجه حيوان الهمستر,
114,🐰,animals,rabbit face,hasengesicht,cara de conejo,tête de lapin,ウサギの顔,토끼 얼굴,rosto de coelho,muso di coniglio,صورت خرگوش,wajah kelinci,兔子头,морда кролика,tavşan yüzü,wjeh dial 9niya,وجه أرنب,
115,🦊,animals,fox,fuchs,zorro,renard,キツネの顔,여우 얼굴,rosto de raposa,volpe,روباه,rubah,狐狸,морда лисицы,tilki,wjeh dial te3leb,وجه ثعلب,
116,🐻,animals,bear,bär,oso,ours,クマの顔,곰 얼굴,rosto de urso,orso,خرس,beruang,熊,морда медведя,ayı,wjeh dial doubb,وجه دب,
117,🐼,animals,panda,panda,panda,panda,パンダの顔,판다 얼굴,rosto de panda,panda,پاندا,panda,熊猫,морда панды,panda,wjeh dial panda,وجه باندا,
118,🐻‍❄️,animals,polar bear,eisbär,oso polar,ours polaire,シロクマ,북극곰,urso polar,orso polare,خرس قطبی,beruang kutub,北极熊,морда белого медведя,kutup ayısı,wjeh dial doub 9otbi,دب قطبي,
119,🐨,animals,koala,koala,koala,koala,コアラ,코알라,coala,koala,کوآلا,koala,考拉,морда коалы,koala,wjeh dial koala,دب كوالا,
120,🐯,animals,tiger face,tigergesicht,cara de tigre,tête de tigre,トラの顔,호랑이 얼굴,rosto de tigre,muso di tigre,صورت ببر,wajah harimau,老虎头,морда тигра,kaplan yüzü,wjeh dial nmer,وجه نمر,
121,🦁,animals,lion,löwe,león,tête de lion,ライオンの顔,사자 얼굴,rosto de leão,leone,شیر,singa,狮子,морда льва,aslan,wjeh dial sbe3,وجه أسد,
122,🐮,animals,cow face,kuhgesicht,cara de vaca,tête de vache,牛の顔,소 얼굴,rosto de vaca,muso di mucca,صورت گاو,wajah sapi,奶牛头,морда коровы,inek yüzü,wjeh dial begra,وجه بقرة,
123,🐷,animals,pig face,schweinegesicht,cara de cerdo,tête de cochon,ブタの顔,돼지 얼굴,rosto de porco,muso di maiale,صورت خوک,wajah babi,猪头,морда свиньи,domuz yüzü,wjeh dial 7ellouf,وجه خنزير,
124,🐽,animals,pig nose,schweinerüssel,nariz de cerdo,groin,ブタ鼻,돼지코,nariz de porco,naso da maiale,دماغ خوک,hidung babi,猪鼻子,свиной пятачок,domuz burnu,nif dial 7ellouf,أنف خنزير,
125,🐸,animals,frog,frosch,rana,grenouille,カエルの顔,개구리 얼굴,sapo,rana,قورباغه,katak,青蛙,голова лягушки,kurbağa,jrana,وجه ضفدع,
126,🐵,animals,monkey face,affengesicht,cara de mono,tête de singe,サルの顔,원숭이 얼굴,rosto de macaco,muso di scimmia,صورت میمون,wajah monyet,猴头,морда обезьяны,maymun yüzü,wjeh dial 9erd,وجه قرد,
127,🙈,animals,see-no-evil monkey,sich die augen zuhaltendes affengesicht,mono con los ojos tapados,singe ne rien voir,見ざる,눈을 가리고 있는 원숭이,macaco que não vê nada,non vedo,میمون شرنبین,tidak melihat,非礼勿视,ничего не вижу,görmedim,9erd mghetti 3inih,قرد يحجب عينيه,
128,🙉,animals,hear-no-evil monkey,sich die ohren zuhaltendes affengesicht,mono con los oídos tapados,singe ne rien entendre,聞かざる,귀를 막고 있는 원숭이,macaco que não ouve nada,non sento,میمون شرنشنو,tidak mendengar,非礼勿听,ничего не слышу,duymadım,9erd mghetti wednih,قرد يحجب أذنيه,
129,🙊,animals,speak-no-evil monkey,sich den mund zuhaltendes affengesicht,mono con la boca tapada,singe ne rien dire,言わざる,입을 막고 있는 원숭이,macaco que não fala nada,non parlo,میمون شرنگو,tidak bicara,非礼勿言,ничего никому не скажу,bilmiyorum,9erd mghetti fmmo,قرد يحجب الكلام,
130,🐒,animals,monkey,affe,mono,singe,サル,원숭이,macaco,scimmia,میمون,monyet,猴子,обезьяна,maymun,9erd gals,قرد,
131,🐔,animals,chicken,huhn,gallina,poule,にわとり,닭,galinha,gallina,مرغ,ayam,鸡,курица,tavuk,djaja,دجاجة,
132,🐧,animals,penguin,pinguin,pingüino,pingouin,ペンギン,펭귄,pinguim,pinguino,پنگوئن,pinguin,企鹅,пингвин,penguen,pingouin,بطريق,
133,🐦,animals,bird,vogel,pájaro,oiseau,鳥,새,pássaro,uccello,پرنده,burung,鸟,птица,kuş,ferkh,طائر,
134,🐤,animals,baby chick,küken,pollito,poussin,ひよこ,병아리,pintinho de perfil,pulcino,جوجه,itik bayi,小鸡,цыпленок боком,civciv,fllous,كتكوت صغير,
135,🐣,animals,hatching chick,schlüpfendes küken,pollito rompiendo el cascarón,poussin qui éclôt,卵からかえったひよこ,알에서 깬 병아리,pintinho chocando,pulcino che nasce,جوجه ازتخم بیرون آمده,itik menetas,小鸡破壳,цыпленок в яйце,yumurtadan çıkan civciv,fellous ki fe99es,كتكوت خارج البيضة,
136,🐥,animals,front-facing baby chick,küken von vorne,pollito de frente,poussin de face,前を向いているひよこ,정면을 향해 날개를 편 병아리,pintinho de frente,pulcino visto di fronte,جوجه از روبرو,itik bayi menghadap ke depan,正面朝向的小鸡,цыпленок,önden civciv,fllouss mn l9ddam,كتكوت صغير بوجه للأمام,
137,🦆,animals,duck,ente,pato,canard,カモ,오리,pato,anatra,مرغابی,bebek,鸭子,утка,ördek,betta,بطة,
