idx,description_eng,description_deu,description_spa,description_fra,description_jpn,description_kor,description_por,description_ita,description_fas,description_ind,description_zho,description_rus,description_tur,description_ary,description_arb
33,bread,brot,pan de molde,pain,食パン,빵,pão,pane in cassetta,نان,roti,面包,хлеб,ekmek,khoubz,خبز
34,baguette bread,baguette,baguete,baguette,バゲット,바게트,baguete,baguette,نان باگت,roti baguette,法式长棍面包,багет,baget ekmek,baguetta dl khobz,الخبز الفرنسي
35,pretzel,brezel,bretzel,bretzel,プレッツェル,프레첼,pretzel,pretzel,چوب شور,pretzel,椒盐卷饼,крендель,pretzel,bretzel,بريتزل
36,cheese wedge,käsestück,cuña de queso,part de fromage,チーズ,치즈 조각,queijo,fetta di formaggio,قاچ پنیر,irisan keju,芝士,сыр,peynir dilimi,terf dial fromaj,قطعة جبن
37,egg,ei,huevo,œuf,卵,달걀,ovo,uovo,تخم مرغ,telur,蛋,яйцо,yumurta,beda,بيض
38,cooking,spiegelei in bratpfanne,cocinar,œuf au plat,料理,프라이팬,ovo frito,cucinare,آشپزی,memasak,煎蛋,яичница на сковороде,yemek pişirme,tyab,مقلاة
39,butter,butter,mantequilla,beurre,バター,버터,manteiga,burro,کره,mentega,黄油,масло,tereyağı,zebda,زبد
40,pancakes,pfannkuchen,tortitas,pancakes,パンケーキ,팬케이크,panquecas,pancake,پنکیک,panekuk,烙饼,блины,krep,lcrepe,فطائر
41,waffle,waffel,gofre,gaufre,ワッフル,와플,waffle,waffle,وافل,wafel,华夫饼,вафля,waffle,les gaufres,وافل
42,bacon,bacon,beicon,lard,ベーコン,베이컨,bacon,pancetta,بیکن,babi asap,培根,бекон,domuz pastırması,gueddid,لحم مقدد
43,cut of meat,fleischstück,corte de carne,morceau de viande,ステーキ肉,고깃덩이,corte de carne,taglio di carne,برش گوشت,potongan daging,肉块,кусок мяса,parça et,terf d l7em,قطعة لحم
44,poultry leg,hähnchenschenkel,muslo de pollo,cuisse de poulet,鶏もも肉,닭다리,coxa de frango,coscia di pollo,ران ماکیان,kaki ayam,家禽的腿,куриная ножка,tavuk butu,fkhed dial djaj,ساق دجاجة
45,meat on bone,fleischhachse,carne con hueso,viande sur un os,骨付き肉,고기,carne,carne,گوشت با استخوان,daging pada tulang,排骨,мясо на косточке,kemikli et,l7em fih 3dem,لحم بعظم
46,hot dog,hotdog,perrito caliente,hot dog,ホットドッグ,핫도그,cachorro-quente,hot dog,هات داگ,hot dog,热狗,хот дог,sosisli sandviç,hot dog,هوت دوغ
47,hamburger,hamburger,hamburguesa,hamburger,ハンバーガー,햄버거,hambúrguer,hamburger,همبرگر,hamburger,汉堡,гамбургер,hamburger,burger,همبرغر
48,french fries,pommes frites,patatas fritas,frites,フライドポテト,감자튀김,batata frita,patatine,سیب زمینی سرخ کرده,kentang goreng,薯条,картофель фри,patates kızartması,frite,بطاطس مقلية
49,pizza,pizza,pizza,pizza,ピザ,피자,pizza,pizza,پیتزا,pizza,披萨,пицца,pizza dilimi,pizza,بيتزا
50,sandwich,sandwich,sándwich,sandwich,サンドイッチ,샌드위치,sanduíche,sandwich,ساندویچ,roti lapis,三明治,сэндвич,sandviç,sandwich,ساندوتش
51,stuffed flatbread,döner,pan relleno,kebab,ケバブサンド,밀전병에 싼 요리,pão recheado,pita farcita,لقمه,roti tawar isi,夹心饼,шаурма,dürüm,sandwich f ness khobza,خبز مفرود محشو
52,falafel,falafel,falafel,falafels,ファラフェル,팔라펠,falafel,falafel,فلافل,falafel,炸豆丸子,фалафель,falafel,falafel,فلافل
53,taco,taco,taco,taco,タコス,타코,taco,taco,تاکو,taco,墨西哥卷饼,тако,tako,taco mexiki,تاكو
54,burrito,burrito,burrito,burrito,ブリトー,부리또,burrito,burrito,بوریتو,burrito,墨西哥玉米煎饼,буррито,burito,burrito,بوريتو
55,tamale,tamale,tamal,tamal,タマル,타말레,tamale,tamale,تامال,tamale,墨西哥粽子,тамале,tamale,tamale,تامال
56,green salad,salat,ensalada,salade verte,グリーンサラダ,야채샐러드,salada verde,insalata verde,سالاد سبزیجات,salad hijau,绿色沙拉,овощной салат,yeşil salata,chlada khdra,سلطة خضراء
57,shallow pan of food,pfannengericht,paella,plat mitonné,パエリア,납작한 냄비,caçarola com comida,padella con cibo,ماهیتابه غذا,wajan dangkal,装有食物的浅底锅,рагу в сковороде,sahanda yemek,me9la fiha lmakla,مقلاة مسطحة بها طعام
58,fondue,fondue,fondue,fondue,フォンデュ,퐁듀,fondue,fonduta,فوندو,fondue,奶酪火锅,фондю,fondü,formaj dayeb,فوندو
59,canned food,konserve,comida enlatada,aliments en conserve,缶詰,통조림,comida enlatada,cibo in scatola,غذای کنسروشده,makanan kaleng,罐头食品,консервы,konserve gıda,makla m3eb2a,طعام معلب
60,spaghetti,spaghetti,espagueti,spaghetti,スパゲッティ,스파게티,espaguete,spaghetti,اسپاگتی,spageti,意粉,спагетти,spagetti,spaghetti,سباغتي
61,steaming bowl,schüssel und essstäbchen,tazón de fideos,bol fumant,ラーメン,국수,lámen,ciotola fumante,کاسه نودل,mangkuk mengepul,面条,лапша,erişte,zlafa katghli,سلطانية البخار
62,pot of food,topf mit essen,olla de comida,marmite,なべ,국,panela,pentola di cibo,ظرف غذا,panci makanan,一锅食物,кастрюля с горячей едой,yemek tenceresi,makla f zlafa,وعاء طعام
63,curry rice,reis mit curry,arroz con curry,riz au curry,カレーライス,카레라이스,arroz com curry,riso al curry,برنج با کاری,nasi kari,咖喱饭,рис с карри,körili pilav,roz bl curry,أرز وكاري
64,sushi,sushi,sushi,sushi,すし,초밥,sushi,sushi,سوشی,sushi,寿司,суши,suşi,sushi,سوشي
65,bento box,bento-box,caja de bento,boîte déjeuner,弁当,도시락,bentô,bento box,جعبه بنتو,kotak bento,盒饭,бэнто,bento,boita bento fiha makla dial japoun,علبة طعام
66,dumpling,teigtasche,dumpling,boulette de pâte,点心,만두,bolinho asiático,raviolo,کوفته,dumpling,饺子,вареник,mantı,ke3b ghzal,زلابية صينية
67,oyster,auster,ostra,huître,牡蠣,굴,ostra,ostrica,صدف خوراکی,tiram,牡蛎,устрица,istiridye,les huitres,محار
68,fried shrimp,frittierte garnele,gamba frita,beignet de crevette,エビフライ,새우튀김,camarão frito,gambero fritto,میگو سوخاری,udang goreng,天妇罗,жареная креветка,kızarmış karides,crevette m9li,جمبري مقلي
69,rice ball,reisbällchen,bola de arroz,boulette de riz,おにぎり,삼각 김밥,arroz japonês,onigiri,کوفته برنجی,nasi kepal,饭团,онигири,pirinç topu,kora dial roz,كرة أرز
70,cooked rice,reis in schüssel,arroz cocido,bol de riz,ごはん,밥,arroz cozido,riso bollito,برنج پخته,nasi matang,米饭,рис,pilav,roz tayeb,أرز مطبوخ
71,rice cracker,reiscracker,galleta de arroz,galette de riz,せんべい,주먹밥,biscoito de arroz,galletta di riso,تردک برنجی,kerupuk beras,米饼,рисовый крекер,pirinç gevreği,glia dial roz,مقرمشات أرز
72,fish cake with swirl,fischfrikadelle,pastel de pescado japonés,croquette de poisson,なると,어묵,bolinho de peixe,tortino di pesce a spirale,کیک ماهی,kue ikan dengan desain pusaran,鱼板,камабоко,balık köftesi,kroket dial l7out,كعكة سمك بشكل حلزوني
73,fortune cookie,glückskeks,galleta de la fortuna,biscuit chinois,フォーチュンクッキー,포츈 쿠키,biscoito da sorte,biscotto della fortuna,شیرینی شانس,kue keberuntungan,幸运饼干,печенье с предсказанием,fal kurabiyesi,7lwa d chinwa,كعكة الحظ
74,moon cake,mondkuchen,pastel de luna,gâteau de lune,月餅,월병,bolo lunar,torta della luna,کیک ماه,kue bulan,月饼,лунный пирог,ay pastası,7lwa dial 9amar,كعكة القمر
75,oden,oden,brocheta,brochette de poisson,おでん,오뎅,oden,oden giapponese,اودن,oden,关东煮,одэн,oden,brochette dl 7out,طعام مشكل
76,dango,dango,dango,brochette de bonbons,だんご,떡꼬치,dango,dango,دانگو,dango,团子,данго,pirinç tatlısı,brochette dial dango,حلوى الدانغو
77,shaved ice,wassereis,granizado hawaiano,granité,かき氷,샤베트 아이스크림,raspadinha de gelo,granita,یخ در بهشت,es serut,刨冰,мороженое в креманке,meyveli buz,teljb b sirop,آيس كريم مجروش
78,ice cream,eiscreme,helado,glace,アイスクリーム,아이스크림,sorvete,coppa di gelato,بستنی,es krim,冰淇淋,мороженое,dondurma,la glace,آيس كريم
79,soft ice cream,softeis,cucurucho de helado,glace italienne,ソフトクリーム,소프트 아이스크림,sorvete italiano,cono gelato,بستنی قیفی,es krim lembut,圆筒冰激凌,мороженое в стаканчике,yumuşak dondurma,cornet dial la glace,آيس كريم مخفف
80,pie,kuchen,pastel,tarte,パイ,파이,torta,torta,پای,pai,派,пирог,tart,la tarte,فطيرة
81,cupcake,cupcake,magdalena,cupcake,カップケーキ,컵케이크,cupcake,cupcake,کیک فنجانی,kue mangkuk,纸杯蛋糕,капкейк,cupcake,cupcake,كعكة صغيرة
82,shortcake,torte,trozo de tarta,gâteau sablé,ショートケーキ,조각 케익,pão de ló de morango,fetta di torta,شُرت کیک,kue,水果蛋糕,кусочек торта,pasta dilimi,terf dial kika,قطعة من الكعك
83,birthday cake,geburtstagskuchen,tarta de cumpleaños,gâteau d’anniversaire,バースデーケーキ,생일 케이크,bolo de aniversário,torta di compleanno,کیک تولد,kue ulang tahun,生日蛋糕,торт ко дню рождения,doğum günü pastası,kika dial 3id milad,كعكة عيد ميلاد
84,custard,pudding,flan,crème renversée,プリン,커스타드 푸딩,pudim,budino,کاستارد,puding susu,奶黄,пудинг,krem karamel,flan bl caramel,كريم كراميل
85,lollipop,lutscher,piruleta,sucette,ぺろぺろキャンディ,롤리팝,pirulito,lecca lecca,آب نبات چوبی,permen lolipop,棒棒糖,леденец,lolipop,mssassa,مصاصة
86,candy,bonbon,caramelo,bonbon,キャンディ,사탕,bala,caramella,آب نبات,permen,糖,конфета,şekerleme,7elwa,حلوى
87,chocolate bar,schokoladentafel,tableta de chocolate,barre chocolatée,チョコレート,초콜렛,chocolate,cioccolato,تخته شکلات,sebatang cokelat,巧克力,шоколад,çikolata,blaka dial cheklat,لوح شوكولاتة
88,popcorn,popcorn,palomitas,pop-corn,ポップコーン,팝콘,pipoca,popcorn,ذرت بوداده,popcorn,爆米花,попкорн,patlamış mısır,popcorn,فشار
89,doughnut,donut,dónut,doughnut,ドーナツ,도넛,donut,ciambella,دونات,donat,甜甜圈,пончик,donut,donut,كعكة محلاة
90,cookie,keks,galleta,cookie,クッキー,쿠키,biscoito,biscotto,کلوچه,biskuit,饼干,печенье,kurabiye,cookies,كعكة
91,chestnut,kastanie,castaña,châtaigne,くり,밤,castanha,castagna,فندق,kastanye,栗子,каштан,kestane,bellot,كستناء
92,peanuts,erdnuss,cacahuetes,cacahuètes,ピーナッツ,땅콩,amendoim,arachidi,بادام زمینی,kacang tanah,花生,арахис,yer fıstığı,kawkaw,فول سوداني
93,honey pot,honigtopf,tarro de miel,pot de miel,はちみつ,꿀,pote de mel,barattolo di miele,ظرف عسل,toples madu,蜂蜜,мед,bal kabı,9r3a dial l3sel,جرة عسل
94,glass of milk,glas milch,vaso de leche,verre de lait,牛乳入りのコップ,우유 한잔,copo de leite,bicchiere di latte,لیوان شیر,gelas susu,一杯奶,стакан молока,süt bardağı,kass dial 7lib,كوب حليب
95,baby bottle,babyflasche,biberón,biberon,ほにゅう瓶,젖병,mamadeira,biberon,شیشه شیر,botol bayi,奶瓶,бутылочка с соской,biberon,9r3a dial bebe,زجاجة الرضاعة
96,hot beverage,heißgetränk,bebida caliente,boisson chaude,温かい飲み物,뜨거운 음료,café,bevanda calda,نوشیدنی گرم,minuman hangat,热饮,горячий напиток,sıcak içecek,machroub skhone,مشروب ساخن
97,teapot,teekanne,tetera,théière,ティーポット,찻주전자,bule,teiera,قوری,teko,茶壶,чайник,demlik,berrad,إبريق شاي
98,teacup without handle,teetasse ohne henkel,tazón de té,tasse,湯飲み,차,xícara de chá sem alça,tazza da tè senza manico,فنجان چای بدون دسته,cangkir teh tanpa gagang,热茶,чашка без ручки,çay fincanı,atay f tasse,فنجان شاي بدون مقبض
99,beverage box,trinkpäckchen,tetrabrik,briquette de jus,紙パック飲料,음료 팩,suco de caixa,bevanda monodose,پاکت نوشیدنی,kotak minuman,饮料盒,пакетик сока,içecek kutusu,mon3ich,علبة عصير
100,cup with straw,becher mit strohhalm,vaso con pajita,gobelet avec paille,ストローカップ,빨대와 컵,copo com canudo,bicchiere con cannuccia,فنجان با نی,cangkir dengan sedotan,带吸管杯,стакан с соломинкой,pipetli bardak,kass bla paille,كأس وقشة للشرب
101,bubble tea,bubble tea,té de burbujas,thé aux perles,タピオカドリンク,버블티,chá perolado,bubble tea,چای حُبابی,teh bubble,珍珠奶茶,чай с шариками,bubble tea,atay bl kwari,شاي الفقاعات
102,sake,sake-flasche mit tasse,sake,saké,徳利,사케,saquê,sakè,ساکی,sake,清酒,бутылка саке,sake,thermos w kass,زجاجة وفنجان
103,beer mug,bierkrug,jarra de cerveza,chope,ビールジョッキ,맥주잔,cerveja,boccale di birra,لیوان آب جو,mug bir,啤酒,кружка пива,bira kupası,kass dial birra,كأس بيرة
104,clinking beer mugs,bierkrüge,jarras de cerveza brindando,chopes de bière,ビールで乾杯,맥주,canecas de cerveja,boccali di birra,لیوان های آبجو را به هم زدن,mug bir berdenting,干杯,чокающиеся кружки,bira kupaları tokuşturma,kissane dial birra ki tkhabto,كأسا بيرة
105,clinking glasses,sektgläser,copas brindando,trinquer,グラスで乾杯,건배하는 샴페인 잔,taças brindando,brindisi,صدای به هم خوردن پیاله ها,mendentingkan gelas,碰杯,чокающиеся бокалы,kadeh tokuşturma,kissane ki tkhabto,كأسان يرتطمان
106,wine glass,weinglas,copa de vino,verre de vin,ワイングラス,와인잔,vinho,bicchiere di vino,جام شراب,gelas anggur,葡萄酒,бокал вина,şarap kadehi,kass dial rouge,كأس شراب
107,tumbler glass,trinkglas,vaso de whisky,verre tumbler,タンブラーグラス,양주잔,copo,bicchiere tumbler,لیوان ته گنبدی,gelas tumbler,平底杯,стакан с виски,kısa ve geniş bardak,kass dial whiskey,كوب زجاجي
108,cocktail glass,cocktailglas,copa de cóctel,cocktail,カクテルグラス,칵테일,coquetel,cocktail,جام کوکتل,gelas cocktail,鸡尾酒,коктейль,kokteyl kadehi,kass dial cocktail,كأس عصير كوكتيل
109,tropical drink,cocktail,bebida tropical,cocktail tropical,トロピカルドリンク,음료수,bebida tropical,cocktail tropicale,نوشیدنی استوایی,minuman tropis,热带水果饮料,тропический коктейль,tropik içecek,kass fih cocktail w 3assir,مشروب استوائي
110,mate,mate-tee,mate,maté,マテ茶,마테차,mate,mate,ماته,teh mate,马黛茶,мате,mate çayı,kass dial maté,متة
111,bottle with popping cork,flasche mit knallendem korken,botella descorchada,bouteille de champagne,シャンパン,코르크가 튀어나오고 있는 병,garrafa de champanhe,bottiglia stappata,شامپاین جوشان,botol dengan penyumbat terlepas,开香槟,шампанское,patlayan mantarlı şişe,9er3a ghla9ta katterte9,زجاجة بسدادة مفرقعة
112,dog face,hundegesicht,cara de perro,tête de chien,イヌの顔,강아지 얼굴,rosto de cachorro,muso di cane,صورت سگ,wajah anjing,狗脸,морда собаки,köpek yüzü,wjeh dial kelb,وجه كلب
113,cat face,katzengesicht,cara de gato,tête de chat,ネコの顔,고양이 얼굴,rosto de gato,muso di gatto,صورت گربه,wajah kucing,猫脸,морда кошки,kedi yüzü,wjeh dial mouch,وجه قطة
114,mouse face,mäusegesicht,cara de ratón,tête de souris,ネズミの顔,쥐 얼굴,rosto de camundongo,muso di topo,صورت موش,wajah tikus,老鼠头,морда мыши,fare yüzü,wjeh dial far,وجه فأر
115,hamster,hamster,hámster,hamster,ハムスターの顔,햄스터 얼굴,rosto de hamster,criceto,همستر,hamster,仓鼠,морда хомяка,hamster,hamster,وجه حيوان الهمستر
116,rabbit face,hasengesicht,cara de conejo,tête de lapin,ウサギの顔,토끼 얼굴,rosto de coelho,muso di coniglio,صورت خرگوش,wajah kelinci,兔子头,морда кролика,tavşan yüzü,wjeh dial 9niya,وجه أرنب
117,fox,fuchs,zorro,renard,キツネの顔,여우 얼굴,rosto de raposa,volpe,روباه,rubah,狐狸,морда лисицы,tilki,wjeh dial te3leb,وجه ثعلب
118,bear,bär,oso,ours,クマの顔,곰 얼굴,rosto de urso,orso,خرس,beruang,熊,морда медведя,ayı,wjeh dial doubb,وجه دب
119,panda,panda,panda,panda,パンダの顔,판다 얼굴,rosto de panda,panda,پاندا,panda,熊猫,морда панды,panda,wjeh dial panda,وجه باندا
120,polar bear,eisbär,oso polar,ours polaire,シロクマ,북극곰,urso polar,orso polare,خرس قطبی,beruang kutub,北极熊,морда белого медведя,kutup ayısı,wjeh dial doub 9otbi,دب قطبي
121,koala,koala,koala,koala,コアラ,코알라,coala,koala,کوآلا,koala,考拉,морда коалы,koala,wjeh dial koala,دب كوالا
122,tiger face,tigergesicht,cara de tigre,tête de tigre,トラの顔,호랑이 얼굴,rosto de tigre,muso di tigre,صورت ببر,wajah harimau,老虎头,морда тигра,kaplan yüzü,wjeh dial nmer,وجه نمر
123,lion,löwe,león,tête de lion,ライオンの顔,사자 얼굴,rosto de leão,leone,شیر,singa,狮子,морда льва,aslan,wjeh dial sbe3,وجه أسد
124,cow face,kuhgesicht,cara de vaca,tête de vache,牛の顔,소 얼굴,rosto de vaca,muso di mucca,صورت گاو,wajah sapi,奶牛头,морда коровы,inek yüzü,wjeh dial begra,وجه بقرة
125,pig face,schweinegesicht,cara de cerdo,tête de cochon,ブタの顔,돼지 얼굴,rosto de porco,muso di maiale,صورت خوک,wajah babi,猪头,морда свиньи,domuz yüzü,wjeh dial 7ellouf,وجه خنزير
126,pig nose,schweinerüssel,nariz de cerdo,groin,ブタ鼻,돼지코,nariz de porco,naso da maiale,دماغ خوک,hidung babi,猪鼻子,свиной пятачок,domuz burnu,nif dial 7ellouf,أنف خنزير
127,frog,frosch,rana,grenouille,カエルの顔,개구리 얼굴,sapo,rana,قورباغه,katak,青蛙,голова лягушки,kurbağa,jrana,وجه ضفدع
128,monkey face,affengesicht,cara de mono,tête de singe,サルの顔,원숭이 얼굴,rosto de macaco,muso di scimmia,صورت میمون,wajah monyet,猴头,морда обезьяны,maymun yüzü,wjeh dial 9erd,وجه قرد
129,see-no-evil monkey,sich die augen zuhaltendes affengesicht,mono con los ojos tapados,singe ne rien voir,見ざる,눈을 가리고 있는 원숭이,macaco que não vê nada,non vedo,میمون شرنبین,tidak melihat,非礼勿视,ничего не вижу,görmedim,9erd mghetti 3inih,قرد يحجب عينيه
130,see-no-evil monkey,sich die augen zuhaltendes affengesicht,mono con los ojos tapados,singe ne rien voir,見ざる,눈을 가리고 있는 원숭이,macaco que não vê nada,non vedo,میمون شرنبین,tidak melihat,非礼勿视,ничего не вижу,görmedim,9erd ki ghetti 3inih,قرد يحجب عينيه
131,hear-no-evil monkey,sich die ohren zuhaltendes affengesicht,mono con los oídos tapados,singe ne rien entendre,聞かざる,귀를 막고 있는 원숭이,macaco que não ouve nada,non sento,میمون شرنشنو,tidak mendengar,非礼勿听,ничего не слышу,duymadım,9erd mghetti wednih,قرد يحجب أذنيه
132,hear-no-evil monkey,sich die ohren zuhaltendes affengesicht,mono con los oídos tapados,singe ne rien entendre,聞かざる,귀를 막고 있는 원숭이,macaco que não ouve nada,non sento,میمون شرنشنو,tidak mendengar,非礼勿听,ничего не слышу,duymadım,9erd ma baghi sme3 ta cherr,قرد يحجب أذنيه
133,speak-no-evil monkey,sich den mund zuhaltendes affengesicht,mono con la boca tapada,singe ne rien dire,言わざる,입을 막고 있는 원숭이,macaco que não fala nada,non parlo,میمون شرنگو,tidak bicara,非礼勿言,ничего никому не скажу,bilmiyorum,9erd mghetti fmmo,قرد يحجب الكلام
134,speak-no-evil monkey,sich den mund zuhaltendes affengesicht,mono con la boca tapada,singe ne rien dire,言わざる,입을 막고 있는 원숭이,macaco que não fala nada,non parlo,میمون شرنگو,tidak bicara,非礼勿言,ничего никому не скажу,bilmiyorum,9erd ki ghetti femmo,قرد يحجب الكلام
135,monkey,affe,mono,singe,サル,원숭이,macaco,scimmia,میمون,monyet,猴子,обезьяна,maymun,9erd gals,قرد
136,chicken,huhn,gallina,poule,にわとり,닭,galinha,gallina,مرغ,ayam,鸡,курица,tavuk,djaja,دجاجة
137,penguin,pinguin,pingüino,pingouin,ペンギン,펭귄,pinguim,pinguino,پنگوئن,pinguin,企鹅,пингвин,penguen,pingouin,بطريق
138,bird,vogel,pájaro,oiseau,鳥,새,pássaro,uccello,پرنده,burung,鸟,птица,kuş,ferkh,طائر
139,baby chick,küken,pollito,poussin,ひよこ,병아리,pintinho de perfil,pulcino,جوجه,itik bayi,小鸡,цыпленок боком,civciv,fllous,كتكوت صغير
140,hatching chick,schlüpfendes küken,pollito rompiendo el cascarón,poussin qui éclôt,卵からかえったひよこ,알에서 깬 병아리,pintinho chocando,pulcino che nasce,جوجه ازتخم بیرون آمده,itik menetas,小鸡破壳,цыпленок в яйце,yumurtadan çıkan civciv,fellous ki fe99es,كتكوت خارج البيضة
141,front-facing baby chick,küken von vorne,pollito de frente,poussin de face,前を向いているひよこ,정면을 향해 날개를 편 병아리,pintinho de frente,pulcino visto di fronte,جوجه از روبرو,itik bayi menghadap ke depan,正面朝向的小鸡,цыпленок,önden civciv,fllouss mn l9ddam,كتكوت صغير بوجه للأمام
142,duck,ente,pato,canard,カモ,오리,pato,anatra,مرغابی,bebek,鸭子,утка,ördek,betta,بطة
143,eagle,adler,águila,aigle,ワシ,독수리,águia,aquila,عقاب,elang,鹰,орел,kartal,nser,نسر
144,owl,eule,búho,chouette,フクロウ,부엉이,coruja,gufo,جغد,burung hantu,猫头鹰,сова,baykuş,bouma,بومة
145,bat,fledermaus,murciélago,chauve-souris,コウモリ,박쥐,morcego,pipistrello,خفاش,kelelawar,蝙蝠,летучая мышь,yarasa,khouffach,خفاش
146,wolf,wolf,lobo,loup,オオカミの顔,늑대 얼굴,rosto de lobo,lupo,گرگ,serigala,狼,морда волка,kurt,dib,وجه ذئب
147,boar,wildschwein,jabalí,sanglier,イノシシ,멧돼지,javali,cinghiale,گراز نر,babi hutan,野猪,кабан,yaban domuzu,7ellouf berri,خنزير بري
148,horse face,pferdegesicht,cara de caballo,tête de cheval,馬の顔,말 얼굴,rosto de cavalo,muso di cavallo,صورت اسب,wajah kuda,马头,морда лошади,at yüzü,3awd,وجه حصان
149,unicorn,einhorn,unicornio,licorne,ユニコーンの顔,유니콘 얼굴,rosto de unicórnio,unicorno,تک شاخ,unicorn,独角兽,голова единорога,tek boynuzlu at,3awd wa7id l9arn,وجه أحادي قرن
150,honeybee,biene,abeja,abeille,ミツバチ,꿀벌,abelha,ape,زنبور عسل,lebah madu,蜜蜂,пчела,bal arısı,n7la,نحلة
151,worm,wurm,gusano,lombric,ミミズ,지렁이,minhoca,verme,کرم,cacing,蠕虫,червяк,solucan,douda,دودة
152,bug,raupe,bicho,chenille,毛虫,송충이,inseto,insetto,حشره,serangga kecil,毛毛虫,гусеница,tırtıl,7achara,بق
